Altitude,Latitude,Longitude,Injury.Severity,Aircraft.Damage,Number.of.Engines,Engine.Type,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Total.Passengers
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,288,VMC,TAXI,288
367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,285,VMC,TAKEOFF,285
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,4,UNKNOWN,UNKNOWN,0,0,0,285,VMC,GO-AROUND,285
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,4,UNKNOWN,UNKNOWN,0,0,0,279,,TAKEOFF,279
291.2,33.91,-84.083056,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,1,0,278,VMC,DESCENT,279
306.1,33.631945,-84.433056,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,279,VMC,TAXI,279
306.1,33.631945,-84.433056,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,279,VMC,STANDING,279
2.8,40.639722,-73.778889,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,275,VMC,TAXI,276
250.7,44.880556,-93.213611,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,272,VMC,TAXI,272
250.7,44.880556,-93.213611,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,272,VMC,TAXI,272
87.8,38.9475,-77.45,NON-FATAL,SUBSTANTIAL,2,TURBO PROP,UNKNOWN,0,0,0,270,VMC,STANDING,270
87.8,38.9475,-77.45,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,270,VMC,TAXI,270
367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,268,,TAKEOFF,268
201,41.978611,-87.904722,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,263,VMC,APPROACH,264
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,4,TURBO FAN,UNKNOWN,0,0,0,258,VMC,CRUISE,258
367.2,39.16472292,-96.61041184,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,3,252,,CRUISE,256
367.2,39.16472292,-96.61041184,NON-FATAL,DESTROYED,2,UNKNOWN,UNKNOWN,0,2,10,243,,CRUISE,255
367.2,39.16472292,-96.61041184,FATAL,DESTROYED,4,TURBO FAN,UNKNOWN,228,26,0,0,IMC,APPROACH,254
305,33.636666,-84.428334,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,250,VMC,TAXI,251
,22.608889,-153.843055,NON-FATAL,DESTROYED,4,UNKNOWN,UNKNOWN,0,1,4,245,IMC,CRUISE,250
0,21.723334,-160.255278,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,1,6,243,VMC,DESCENT,250
144.4,32.845277,-96.8525,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,244,IMC,STANDING,244
144.4,32.845277,-96.8525,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,244,IMC,TAXI,244
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,UNKNOWN,UNKNOWN,0,0,0,235,VMC,STANDING,235
,35.893333,143.871667,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,2,2,227,VMC,CLIMB,231
2.8,40.64,-73.778611,NON-FATAL,MINOR,4,TURBO FAN,UNKNOWN,0,0,0,228,VMC,TAXI,228
2.8,40.64,-73.778611,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,228,VMC,TAXI,228
367.2,39.16472292,-96.61041184,NON-FATAL,DESTROYED,4,UNKNOWN,UNKNOWN,0,1,1,223,,CRUISE,225
1.8,39.872223,-75.240833,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,222,VMC,TAXI,222
1.8,39.872223,-75.240833,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,222,VMC,TAXI,222
,38.54,-173.24,NON-FATAL,DESTROYED,4,TURBO FAN,UNKNOWN,0,1,1,220,UNK,CRUISE,222
14.6,29.760278,-95.369723,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,220,IMC,DESCENT,221
,58,-30,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,0,220,VMC,CRUISE,221
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,220,VMC,LANDING,220
367.2,39.16472292,-96.61041184,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,0,216,VMC,CRUISE,217
367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,0,14,203,VMC,CLIMB,217
2.8,40.639722,-73.778889,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,1,0,215,IMC,CLIMB,216
201,41.978611,-87.904722,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,216,IMC,STANDING,216
201,41.978611,-87.904722,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,216,IMC,TAXI,216
2.2,40.698611,-74.17,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,214,VMC,TAKEOFF,214
367.2,39.16472292,-96.61041184,FATAL,DESTROYED,3,TURBO FAN,UNKNOWN,2,4,24,182,IMC,LANDING,212
367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,210,,TAKEOFF,210
36,33.941666,-118.408333,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,208,UNK,TAKEOFF,208
4.9,32.733611,-117.189722,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,208,VMC,TAXI,208
4.9,32.733611,-117.189722,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,208,VMC,TAXI,208
2.4,40.7,-74.172223,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,205,VMC,TAXI,205
2.4,40.7,-74.172223,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,205,VMC,TAXI,205
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,203,,TAKEOFF,203
65.2,41.931667,-72.733056,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,1,197,VMC,DESCENT,199
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,UNKNOWN,UNKNOWN,0,1,0,193,VMC,APPROACH,194
367.2,39.16472292,-96.61041184,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,194,VMC,LANDING,194
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,UNKNOWN,UNKNOWN,0,0,0,193,,LANDING,193
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO JET,UNKNOWN,0,0,0,192,,STANDING,192
201,41.978611,-87.904722,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,192,,CRUISE,192
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,4,UNKNOWN,UNKNOWN,0,0,0,191,,TAXI,191
691.6,46.811389,-120.951944,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,1,188,VMC,DESCENT,190
367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,2,TURBO PROP,UNKNOWN,0,0,0,190,IMC,TAKEOFF,190
367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,190,IMC,TAKEOFF,190
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,188,,APPROACH,189
367.2,39.16472292,-96.61041184,FATAL,DESTROYED,4,TURBO FAN,UNKNOWN,188,0,0,0,,TAKEOFF,188
4.5,32.735,-117.189722,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,186,VMC,STANDING,187
186.4,35.4,-80.666667,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,0,186,VMC,CRUISE,187
643.1,36.08,-115.152222,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,185,VMC,APPROACH,186
2.9,39.874445,-75.241944,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,1,184,VMC,DESCENT,186
62.3,38.705556,-76.744444,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,185,IMC,DESCENT,186
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,185,,LANDING,185
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,185,,LANDING,185
367.2,39.16472292,-96.61041184,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,185,IMC,LANDING,185
643.6,36.083889,-115.153611,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,184,VMC,TAKEOFF,184
0,-14.331389,-170.711389,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,2,181,VMC,TAKEOFF,184
302.2,33.763333,-84.401667,INCIDENT,MINOR,2,TURBO JET,UNKNOWN,0,0,0,182,VMC,TAKEOFF,182
367.2,39.16472292,-96.61041184,INCIDENT,DESTROYED,4,UNKNOWN,UNKNOWN,0,0,1,179,,CRUISE,180
643.1,36.08,-115.152222,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,180,VMC,LANDING,180
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,1,11,168,VMC,LANDING,180
46.1,39.179167,-76.667223,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,179,VMC,TAXI,179
144,32.841666,-96.85,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,179,VMC,STANDING,179
144,32.841666,-96.85,NON-FATAL,MINOR,2,TURBO FAN,FLIGHT TEST,0,0,0,179,VMC,TAXI,179
0,19.736944,-68.554167,INCIDENT,DESTROYED,2,TURBO JET,UNKNOWN,0,0,33,146,VMC,CRUISE,179
1.5,40.777223,-73.8725,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,179,VMC,TAXI,179
1.5,40.777223,-73.8725,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,179,VMC,TAXI,179
304.8,33.639166,-84.428056,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,3,175,VMC,TAKEOFF,178
1635.9,39.86,-104.67,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,173,IMC,DESCENT,174
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,174,,LANDING,174
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,4,UNKNOWN,UNKNOWN,0,0,0,173,,LANDING,173
367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,173,,TAKEOFF,173
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,173,,LANDING,173
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,6,166,,LANDING,172
3.2,25.765833,-80.218889,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,172,VMC,LANDING,172
202.7,41.968889,-87.917778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,20,149,VMC,TAKEOFF,170
640.2,36.083056,-115.151389,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,19,150,VMC,TAKEOFF,170
643.1,36.08,-115.152222,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,170,VMC,TAKEOFF,170
2.8,40.64,-73.78,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,168,VMC,STANDING,168
367.2,39.16472292,-96.61041184,NON-FATAL,MINOR,3,TURBO FAN,UNKNOWN,0,7,19,142,VMC,CRUISE,168
176.5,32.897222,-97.037777,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,166,UNK,STANDING,167
2.5,25.766667,-80.291666,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,165,VMC,DESCENT,166
34.1,33.9425,-118.408056,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,165,VMC,TAKEOFF,165
304.8,39.9025,-84.221945,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,163,UNK,APPROACH,163
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,163,VMC,TAXI,163
341.7,33.435277,-112.01,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,162,VMC,LANDING,162
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,160,,CRUISE,160
215.4,35.213611,-80.949166,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,159,VMC,APPROACH,159
52.7,35,-79,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,158,VMC,DESCENT,159
2612.5,5.980556,-75.418334,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,157,,DESCENT,158
367.2,39.16472292,-96.61041184,FATAL,DESTROYED,4,UNKNOWN,UNKNOWN,157,0,0,0,,TAKEOFF,157
3.2,40.641389,-73.778611,INCIDENT,MINOR,4,TURBO FAN,UNKNOWN,0,0,0,157,UNK,TAKEOFF,157
1635.6,39.861667,-104.673056,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,157,VMC,DESCENT,157
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,0,0,157,VMC,TAKEOFF,157
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,UNKNOWN,UNKNOWN,0,0,0,156,,TAKEOFF,156
174.7,0,0,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,155,UNK,DESCENT,156
367.2,36.121389,-86.673611,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,156,VMC,TAXI,156
22.8,39.16472292,-96.61041184,INCIDENT,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,156,VMC,TAKEOFF,156
8,42.21,-71,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,154,VMC,CLIMB,155
367.2,40.771945,-72.868334,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,5,0,150,,TAKEOFF,155
5.6,39.16472292,-96.61041184,NON-FATAL,MINOR,3,TURBO FAN,UNKNOWN,0,1,0,154,IMC,TAKEOFF,155
643.1,39.860556,-75.273889,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,154,VMC,TAKEOFF,154
367.2,36.08,-115.152222,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,154,VMC,TAKEOFF,154
2.7,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,4,150,VMC,LANDING,154
117.8,40.687222,-74.1775,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,153,VMC,STANDING,153
8.4,47.463611,-122.313333,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,153,VMC,LANDING,153
2339.6,26.536111,-81.755278,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,2,2,149,VMC,APPROACH,153
367.2,37.785277,-119.706944,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,1,0,151,VMC,APPROACH,152
367.2,39.16472292,-96.61041184,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,152,,CRUISE,152
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,152,VMC,LANDING,152
190,39.16472292,-96.61041184,INCIDENT,DESTROYED,4,UNKNOWN,UNKNOWN,0,0,0,151,,LANDING,151
252.9,33.201111,-96.201111,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,150,UNK,CLIMB,150
253.6,44.875834,-93.219723,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,149,IMC,APPROACH,150
1.5,44.867778,-93.226667,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,150,UNK,TAKEOFF,150
367.2,40.777223,-73.8725,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,8,141,VMC,LANDING,149
1252.9,39.16472292,-96.61041184,INCIDENT,DESTROYED,3,TURBO FAN,UNKNOWN,0,0,0,149,UNK,CRUISE,149
250.3,32.868334,-116.55,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,147,VMC,APPROACH,148
0,0,0,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,147,IMC,DESCENT,148
304.6,41.239166,-73.579723,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,0,147,UNK,CRUISE,148
304.6,37.721667,-122.221667,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,147,VMC,TAXI,148
10.7,33.636666,-84.427778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,148,VMC,LANDING,148
295.9,33.636666,-84.427778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,146,VMC,TAKEOFF,147
367.2,33.818334,-118.144722,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,147,VMC,TAKEOFF,147
20,33.658333,-84.421667,INCIDENT,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,147,UNK,TAKEOFF,147
34.1,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,147,,LANDING,147
367.2,47.473611,-0.554167,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,0,146,UNK,CRUISE,147
1.7,33.9425,-118.408056,INCIDENT,MINOR,2,TURBO JET,UNKNOWN,0,0,0,146,VMC,TAKEOFF,146
43.8,39.16472292,-96.61041184,INCIDENT,DESTROYED,4,TURBO JET,UNKNOWN,0,0,17,129,VMC,CRUISE,146
176.1,27.91,-82.6875,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,7,137,VMC,TAXI,145
251.3,39.175278,-76.668334,NON-FATAL,SUBSTANTIAL,4,TURBO FAN,UNKNOWN,0,0,0,145,VMC,APPROACH,145
251.3,32.896944,-97.038055,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,145,VMC,TAXI,145
367.2,44.880556,-93.216945,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,7,137,VMC,TAXI,145
367.2,44.880556,-93.216945,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,7,137,VMC,CLIMB,145
341.3,39.16472292,-96.61041184,FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,2,2,3,137,VMC,TAKEOFF,144
,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,9,135,,TAKEOFF,144
207.4,33.434166,-112.011667,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,143,VMC,STANDING,144
304.9,28.5,-79.5,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,143,VMC,DESCENT,144
367.2,32.505278,-97.156667,NON-FATAL,DESTROYED,2,UNKNOWN,UNKNOWN,0,1,0,143,UNK,CRUISE,144
7.1,33.636944,-84.428056,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,144,VMC,STANDING,144
163.5,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,1,142,,LANDING,143
227.8,26.372778,-81.262778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,142,VMC,DESCENT,143
1.4,38.748611,-90.366945,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,143,VMC,CLIMB,143
1.8,35.285833,-80.821389,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,141,IMC,APPROACH,142
33.7,26.44,-82.05,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,141,VMC,DESCENT,142
643.1,26.072778,-80.152778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,142,VMC,STANDING,142
367.2,33.9425,-118.407222,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,142,VMC,LANDING,142
131.7,36.08,-115.152222,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,6,136,VMC,DESCENT,142
0,39.16472292,-96.61041184,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,2,42,98,VMC,LANDING,142
367.2,33.216945,-83.807778,NON-FATAL,SUBSTANTIAL,2,UNKNOWN,UNKNOWN,0,1,0,140,IMC,DESCENT,141
367.2,33,-118,NON-FATAL,MINOR,2,UNKNOWN,UNKNOWN,0,0,0,140,VMC,TAXI,140
367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,140,VMC,TAKEOFF,140
